id;人物类型ID;人物等级ID;名字;ID;动画文件名称;所占人口;解锁兵种需要的兵营等级;升级需要的科技建筑等级;移动速度;生命值;造兵所需时间;造兵消耗资源种类;造兵资源数量;升级时间:小时;升级消耗资源的类型;升级消耗资源的数量;射程范围;攻击间隔;攻击力;对特定类目标的攻击倍率;攻击的溅射范围;对应UI;对应图标的名称;对应大尺寸图片;子弹对象;优先攻击的建筑类别;放入地图时的特效;攻击效果;受击效果;是否为飞行单位;攻击对空;攻击对地;攻击几次后死亡;死亡效果;动画名称
NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;部分单位（小偷、炸墙兵）对自己的优先目标，可以造成更多倍的伤害。;范围伤害型子弹，打中时影响的圆形范围的半径。;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;空中单位、或地面单位，决定了单位的寻径方式，地面单位需要绕过、拆掉障碍物，而空中单位会直接飞向目标。;决定兵能否攻击空中单位。;决定兵能否攻击地面单位。;炸弹兵攻击一次后就会死亡;NULL;NULL
ID;TypeID;Level;Name;TID;SWF;HousingSpace;BarrackLevel;LaboratoryLevel;Speed;Hitpoints;TrainingTime;TrainingResource;TrainingCost;UpgradeTimeH;UpgradeResource;UpgradeCost;AttackRange;AttackSpeed;Damage;PreferedTargetDamageMod;DamageRadius;IconSWF;IconExportName;BigPicture;Projectile;PreferedTargetBuilding;DeployEffect;AttackEffect;HitEffect;IsFlying;AirTargets;GroundTargets;AttackCount;DieEffect;Animation
int;int;int;String;String;String;int;int;int;int;int;int;String;int;int;String;int;int;int;int;int;int;String;String;String;String;int;String;String;String;boolean;boolean;boolean;int;String;String
100001;1000;1;Barbarian;TID_BARBARIAN;sc/characters.cs;1;1;1;200;45;25;Elixir;25;6;Elixir;50000;40;1000;8;1;-1;sc/ui.sc;icon_unit_barbarian;unit_barbarian_big;NULL;-1;Barbarian Deploy;Barbarian Attack;Barbarian Hit;FALSE;FALSE;TRUE;-1;Barbarian Die;Barbarian
100002;1000;2;Barbarian;TID_BARBARIAN;sc/characters.cs;1;1;1;200;54;25;Elixir;40;24;Elixir;100000;40;1000;11;1;-1;sc/ui.sc;icon_unit_barbarian2;unit_barbarian_big;NULL;-1;Barbarian Deploy;Barbarian Attack;Barbarian Hit;FALSE;FALSE;TRUE;-1;Barbarian Die;Barbarian
100003;1000;3;Barbarian;TID_BARBARIAN;sc/characters.cs;1;1;3;200;65;25;Elixir;60;72;Elixir;500000;40;1000;14;1;-1;sc/ui.sc;icon_unit_barbarian3;unit_barbarian_big;NULL;-1;Barbarian Deploy;Barbarian Attack;Barbarian Hit;FALSE;FALSE;TRUE;-1;Barbarian Die;Barbarian3
100004;1000;4;Barbarian;TID_BARBARIAN;sc/characters.cs;1;1;5;200;78;25;Elixir;80;120;Elixir;1500000;40;1000;18;1;-1;sc/ui.sc;icon_unit_barbarian4;unit_barbarian_big;NULL;-1;Barbarian Deploy;Barbarian Attack;Barbarian Hit;FALSE;FALSE;TRUE;-1;Barbarian Die;Barbarian3
100005;1000;5;Barbarian;TID_BARBARIAN;sc/characters.cs;1;1;6;200;95;25;Elixir;100;120;Elixir;-1;40;1000;23;1;-1;sc/ui.sc;icon_unit_barbarian5;unit_barbarian_big;NULL;-1;Barbarian Deploy;Barbarian Attack;Barbarian Hit;FALSE;FALSE;TRUE;-1;Barbarian Die;Barbarian5
200001;2000;1;Archer;TID_ARCHER;sc/characters.cs;1;2;1;300;20;25;Elixir;50;6;Elixir;50000;400;1000;7;1;-1;sc/ui.sc;icon_unit_archer;unit_archer_big;Arrow_small;-1;Archer Deploy;Archer Attack;Archer Hit;FALSE;TRUE;TRUE;-1;Archer Die;Archer
200002;2000;2;Archer;TID_ARCHER;sc/characters.cs;1;2;1;300;23;25;Elixir;80;24;Elixir;100000;400;1000;9;1;-1;sc/ui.sc;icon_unit_archer2;unit_archer_big;Arrow_small;-1;Archer Deploy;Archer Attack;Archer Hit;FALSE;TRUE;TRUE;-1;Archer Die;Archer
