ID;build_level;buildType_ID;Name;ExportName;BuildTimeD;BuildTimeH;BuildTimeM;BuildCost;TownHallLevel;MaxStoredGold;MaxStoredElixir;HousingSpace;ResourcePerHour;ResourceMax;UnitProduction;Hitpoints;RegenTime;Damage;Projectile;DefenderCharacter;DefenderCount;DestructionXP;ExportNameTriggered
int;int;int;String;String;int;int;int;int;int;int;int;int;int;int;int;int;int;int;String;int;int;int;String
101;1;1;Troop Housing;fireplace_lvl1;0;0;5;250;1;-1;-1;20;-1;-1;-1;400;30;-1;NULL;-1;-1;-1;NULL
102;2;1;-1;fireplace_lvl2;0;1;0;2500;2;-1;-1;30;-1;-1;-1;500;31;-1;NULL;-1;-1;-1;NULL
103;3;1;-1;fireplace_lvl3;0;3;0;10000;3;-1;-1;35;-1;-1;-1;600;32;-1;NULL;-1;-1;-1;NULL
104;4;1;-1;fireplace_lvl4;0;8;0;100000;4;-1;-1;40;-1;-1;-1;700;33;-1;NULL;-1;-1;-1;NULL
105;5;1;-1;fireplace_lvl5;1;0;0;250000;5;-1;-1;45;-1;-1;-1;800;34;-1;NULL;-1;-1;-1;NULL
106;6;1;-1;fireplace_lvl6;3;0;0;750000;6;-1;-1;50;-1;-1;-1;1000;35;-1;NULL;-1;-1;-1;NULL
10001;1;100;Town Hall;town_hall_lvl1;0;0;1;0;0;1000;1000;-1;-1;-1;-1;1500;30;-1;NULL;-1;-1;1;NULL
10002;2;100;-1;town_hall_lvl2;0;0;5;1000;0;1000;1000;-1;-1;-1;-1;1600;32;-1;NULL;-1;-1;2;NULL
10003;3;100;-1;town_hall_lvl3;0;3;0;4000;0;1000;1000;-1;-1;-1;-1;1700;34;-1;NULL;-1;-1;3;NULL
10004;4;100;-1;town_hall_lvl4;1;0;0;25000;0;1000;1000;-1;-1;-1;-1;1800;36;-1;NULL;-1;-1;4;NULL
10005;5;100;-1;town_hall_lvl5;2;0;0;150000;0;1000;1000;-1;-1;-1;-1;1900;38;-1;NULL;-1;-1;5;NULL
10006;6;100;-1;town_hall_lvl6;4;0;0;750000;0;1000;1000;-1;-1;-1;-1;2000;40;-1;NULL;-1;-1;6;NULL
10007;7;100;-1;town_hall_lvl7;6;0;0;1200000;0;1000;1000;-1;-1;-1;-1;2200;42;-1;NULL;-1;-1;7;NULL
10008;8;100;-1;town_hall_lvl8;8;0;0;1500000;0;1000;1000;-1;-1;-1;-1;2500;44;-1;NULL;-1;-1;8;NULL
20001;1;200;Elixir Pump;elixir_pump_lvl1;0;0;1;150;1;-1;-1;-1;200;500;-1;400;30;-1;NULL;-1;-1;-1;NULL
20002;2;200;-1;elixir_pump_lvl2;0;0;5;300;1;-1;-1;-1;400;1000;-1;450;31;-1;NULL;-1;-1;-1;NULL
20003;3;200;-1;elixir_pump_lvl3;0;0;0;700;2;-1;-1;-1;600;1500;-1;500;32;-1;NULL;-1;-1;-1;NULL
20004;4;200;-1;elixir_pump_lvl4;0;1;0;1400;2;-1;-1;-1;800;2500;-1;550;33;-1;NULL;-1;-1;-1;NULL
20005;5;200;-1;elixir_pump_lvl5;0;4;0;3500;3;-1;-1;-1;1000;10000;-1;590;34;-1;NULL;-1;-1;-1;NULL
20006;6;200;-1;elixir_pump_lvl6;0;12;0;7000;3;-1;-1;-1;1300;20000;-1;610;35;-1;NULL;-1;-1;-1;NULL
20007;7;200;-1;elixir_pump_lvl7;1;0;0;14000;4;-1;-1;-1;1600;30000;-1;630;36;-1;NULL;-1;-1;-1;NULL
20008;8;200;-1;elixir_pump_lvl8;2;0;0;28000;4;-1;-1;-1;1900;50000;-1;660;37;-1;NULL;-1;-1;-1;NULL
20009;9;200;-1;elixir_pump_lvl9;3;0;0;56000;5;-1;-1;-1;2200;75000;-1;680;38;-1;NULL;-1;-1;-1;NULL
20010;10;200;-1;elixir_pump_lvl10;4;0;0;84000;5;-1;-1;-1;2500;100000;-1;710;39;-1;NULL;-1;-1;-1;NULL
20101;1;201;Elixir Storage;elixir_storage_level1;0;0;15;300;1;-1;1500;-1;-1;-1;-1;400;30;-1;NULL;-1;-1;-1;NULL
20102;2;201;-1;elixir_storage_level2;0;0;30;750;2;-1;3000;-1;-1;-1;-1;600;31;-1;NULL;-1;-1;-1;NULL
20103;3;201;-1;elixir_storage_level3;0;1;0;1500;2;-1;6000;-1;-1;-1;-1;800;32;-1;NULL;-1;-1;-1;NULL
20104;4;201;-1;elixir_storage_level4;0;2;0;3000;3;-1;12000;-1;-1;-1;-1;1000;33;-1;NULL;-1;-1;-1;NULL
20105;5;201;-1;elixir_storage_level5;0;3;0;6000;3;-1;25000;-1;-1;-1;-1;1200;34;-1;NULL;-1;-1;-1;NULL
20106;6;201;-1;elixir_storage_level6;0;4;0;12000;3;-1;50000;-1;-1;-1;-1;1500;35;-1;NULL;-1;-1;-1;NULL
20107;7;201;-1;elixir_storage_level7;0;6;0;25000;4;-1;100000;-1;-1;-1;-1;1650;36;-1;NULL;-1;-1;-1;NULL
20108;8;201;-1;elixir_storage_level8;0;8;0;50000;4;-1;250000;-1;-1;-1;-1;1740;37;-1;NULL;-1;-1;-1;NULL
20109;9;201;-1;elixir_storage_level9;0;12;0;100000;5;-1;500000;-1;-1;-1;-1;1820;38;-1;NULL;-1;-1;-1;NULL
20110;10;201;-1;elixir_storage_level10;0;24;0;250000;6;-1;1000000;-1;-1;-1;-1;1920;39;-1;NULL;-1;-1;-1;NULL
20201;1;202;Gold Mine;goldmine_lvl1;0;0;1;150;1;-1;-1;-1;200;500;-1;400;30;-1;NULL;-1;-1;-1;NULL
20202;2;202;-1;goldmine_lvl2;0;0;5;300;1;-1;-1;-1;400;1000;-1;450;31;-1;NULL;-1;-1;-1;NULL
20203;3;202;-1;goldmine_lvl3;0;0;15;700;2;-1;-1;-1;600;1500;-1;500;32;-1;NULL;-1;-1;-1;NULL
20204;4;202;-1;goldmine_lvl4;0;1;0;1400;2;-1;-1;-1;800;2500;-1;550;33;-1;NULL;-1;-1;-1;NULL
20205;5;202;-1;goldmine_lvl5;0;4;0;3000;3;-1;-1;-1;1000;10000;-1;590;34;-1;NULL;-1;-1;-1;NULL
