建筑类型ID;名字;建筑类型;动画;建造消耗资源种类;占地范围宽;占地范围高;建造中动画;是否是堡垒;生产资源的种类;是否可以升级士兵;攻击的射程范围;攻击间隔;建筑的碰撞范围：宽;建筑的碰撞范围：高;攻击对空;攻击对地;盲区范围;攻击的溅射范围;攻击附带击退效果;建筑是否可以出售;是否需要解锁;是否隐身;触发范围
TypeID;Name;BuildingClass;SWF;BuildResource;Width;Height;ExportNameBuildAnim;Bunker;ProducesResource;UpgradesUnits;AttackRange;AttackSpeed;BuildingW;BuildingH;AirTargets;GroundTargets;MinAttackRange;DamageRadius;PushBack;CanNotSellLast;Locked;Hidden;TriggerRadius
int;String;int;String;int;int;int;String;boolean;int;boolean;int;int;int;int;boolean;boolean;int;int;boolean;boolean;Boolean;Boolean;int
1;Troop Housing;0;sc/buildings.sc;1;5;5;fireplace_upg;0;-1;0;-1;-1;2;2;-1;-1;-1;-1;-1;1;0;0;-1
100;Town Hall;1;sc/buildings.sc;0;4;4;town_hall_upg;0;-1;0;-1;-1;3;3;-1;-1;-1;-1;-1;1;0;0;-1
200;Elixir Pump;2;sc/buildings.sc;0;3;3;elixir_pump_upg;0;1;0;-1;-1;2;2;-1;-1;-1;-1;-1;1;0;0;-1
201;Elixir Storage;2;sc/buildings.sc;0;3;3;elixir_storage_upg;0;-1;0;-1;-1;2;2;-1;-1;-1;-1;-1;0;0;0;-1
202;Gold Mine;2;sc/buildings.sc;1;3;3;goldmine_upg;0;0;0;-1;-1;2;2;-1;-1;-1;-1;-1;1;0;0;-1
203;Gold Storage;2;sc/buildings.sc;1;3;3;gold_storage_upg;0;-1;0;-1;-1;2;2;-1;-1;-1;-1;-1;0;0;0;-1
2;Barrack;0;sc/buildings.sc;1;3;3;barracks_upg;0;-1;0;-1;-1;2;2;-1;-1;-1;-1;-1;1;0;0;-1
3;Laboratory;0;sc/buildings.sc;1;4;4;laboratory_upg;0;-1;1;-1;-1;3;3;-1;-1;-1;-1;-1;1;0;0;-1
300;Cannon;3;sc/buildings.sc;0;3;3;basic_turret_upg;0;-1;0;900;800;2;2;0;1;-1;-1;-1;1;0;0;-1
301;Archer Tower;3;sc/buildings.sc;0;3;3;tower_turret_upg;0;-1;0;1000;1000;2;2;1;1;-1;-1;-1;0;0;0;-1
400;Wall;4;sc/buildings.sc;0;1;1;dummy_particle;0;-1;0;-1;-1;1;1;-1;-1;-1;-1;-1;0;0;0;-1
302;Wizard Tower;3;sc/buildings.sc;0;3;3;wizard_tower_upg;0;-1;0;700;1300;2;2;1;1;-1;100;-1;0;0;0;-1
303;Air Defense;3;sc/buildings.sc;0;3;3;fireworks_tower_upg;0;-1;0;1000;1000;2;2;1;0;-1;-1;-1;0;0;0;-1
304;Mortar;3;sc/buildings.sc;0;3;3;mortar_upg;0;-1;0;1000;5000;2;2;0;1;400;150;1;0;0;0;-1
4;Alliance Castle;0;sc/buildings.sc;0;3;3;alliance_castle_upg;1;-1;0;-1;-1;2;2;-1;-1;-1;-1;-1;1;1;0;-1
500;Worker Building;5;sc/buildings.sc;2;2;2;worker_building_upg;0;-1;0;-1;-1;1;1;-1;-1;-1;-1;-1;1;0;0;-1
600;Communications mast;6;sc/buildings.sc;0;2;2;comm_mast_upg;0;-1;0;-1;-1;1;1;-1;-1;-1;-1;-1;1;0;0;-1
601;Goblin main building;6;sc/buildings.sc;0;4;4;generic_upgrade_state3;0;-1;0;-1;-1;3;3;-1;-1;-1;-1;-1;1;0;0;-1
602;Goblin hut;6;sc/buildings.sc;1;2;2;generic_upgrade_state2;0;-1;0;-1;-1;2;2;-1;-1;-1;-1;-1;1;0;0;-1
305;Tesla Tower;3;sc/buildings.sc;0;2;2;teslatower_upg;0;-1;0;700;600;1;1;1;1;-1;-1;-1;0;0;1;500
5;Spell Forge;0;sc/buildings.sc;1;3;3;spell_factory_upg;0;-1;0;-1;-1;2;2;-1;-1;-1;-1;-1;1;0;0;-1
